heure,zone,catr,grav,lat,long
00,2,3,1,49.03393973,2.10087545
00,2,3,4,49.03393973,2.10087545
15,1,3,1,48.67468,2.17666
15,1,3,4,48.67468,2.17666
10,2,3,1,48.713281,2.448973
10,2,3,4,48.713281,2.448973
04,2,3,4,48.677827,2.383809
19,2,4,1,43.92856,4.82097
19,2,4,4,43.92856,4.82097
19,2,4,1,43.12853,5.91387
19,2,4,4,43.12853,5.91387
12,1,4,4,44.07586,1.1276
04,1,3,4,46.292463,-0.46593
20,2,4,1,48.957531,2.882712
20,2,4,3,48.957531,2.882712
13,1,3,3,48.43023,2.66104
18,2,4,1,46.19188,6.23676
18,2,4,4,46.19188,6.23676
15,2,4,1,46.19783,6.23636
15,2,4,4,46.19783,6.23636
15,2,7,1,45.76787,4.93755
15,2,7,3,45.76787,4.93755
15,2,7,4,45.76787,4.93755
21,2,4,1,45.73591,4.91203
21,2,4,4,45.73591,4.91203
16,2,7,1,48.608,7.75
16,2,7,4,48.608,7.75
00,1,4,4,43.4314,-1.57619
20,2,3,1,43.45668,-1.55097
20,2,3,4,43.45668,-1.55097
18,2,4,1,43.50232,-1.47696
18,2,4,4,43.50232,-1.47696
13,2,4,1,43.48913749,-1.49956405
13,2,4,3,43.48913749,-1.49956405
09,2,4,4,50.7459,3.12267
23,2,4,4,50.71151,3.17578
01,2,7,1,50.652606,3.082432
01,2,7,4,50.652606,3.082432
13,2,3,1,47.7353,-3.37435
13,2,3,4,47.7353,-3.37435
07,2,3,1,47.80076,-3.2852
07,2,3,4,47.80076,-3.2852
19,2,4,3,47.48868,-0.52906
14,2,7,1,47.90589,1.9098
14,2,7,4,47.90589,1.9098
13,2,3,1,47.98262,2.73282
13,2,3,3,47.98262,2.73282
16,2,4,1,45.05172,3.91137
16,2,4,4,45.05172,3.91137
11,2,4,1,49.0265,1.14784
11,2,4,4,49.0265,1.14784
22,2,4,1,44.93202,4.8988
22,2,4,4,44.93202,4.8988
08,1,3,3,46.92433,6.35612
08,1,3,4,46.92433,6.35612
15,2,4,1,47.23185,5.97057
15,2,4,4,47.23185,5.97057
15,2,4,1,47.21763,5.96429
15,2,4,4,47.21763,5.96429
08,2,4,1,47.24654,5.997457
08,2,4,3,47.24654,5.997457
19,2,4,1,43.4579,4.92827
19,2,4,4,43.4579,4.92827
19,2,1,3,43.32944,5.40691
22,2,4,2,43.35363,5.32885
22,2,4,3,43.35363,5.32885
07,2,4,1,43.198144,2.973218
07,2,4,4,43.198144,2.973218
17,2,4,1,48.278,4.0676
17,2,4,4,48.278,4.0676
17,2,4,1,48.3016,4.1092
17,2,4,4,48.3016,4.1092
12,2,4,1,48.3072,4.0632
12,2,4,4,48.3072,4.0632
10,2,4,1,48.2973,4.08136
10,2,4,4,48.2973,4.08136
14,2,4,4,43.55098,7.00623
08,2,4,1,46.22268,5.22867
08,2,4,3,46.22268,5.22867
08,2,3,1,46.19487,5.21487
08,2,3,4,46.19487,5.21487
19,2,4,1,46.203378,5.209451
19,2,4,4,46.203378,5.209451
17,2,4,1,48.827581,2.392145
17,2,4,4,48.827581,2.392145
18,2,4,1,48.831534,2.282962
18,2,4,4,48.831534,2.282962
17,2,4,1,48.82674789,2.3900038
17,2,4,4,48.82674789,2.3900038
